engine,tier,shape,live_keys,commits,commit_per_s,w1_p50_us,w2_p50_us,r1_p50_us,r2_p50_us,disk_bytes,rss_bytes
epochs,smoke,deep,1000,10000,26188.7,25,41,35,4295,24665936,50651136
sqlite,smoke,deep,1000,10000,13831.2,30,11,114,25304,3444736,15814656
postgres,smoke,deep,1000,10000,245.6,2307,702,7900,551807,4685824,113352704
mysql,smoke,deep,1000,10000,494.5,1923,608,924,286712,4505600,1717645312
epochs,dev,deep,10000,100000,22664.5,32,56,35,42816,316842720,396029952
sqlite,dev,deep,10000,100000,13528.8,30,24,107,305021,34508800,61526016
postgres,dev,deep,10000,100000,454.0,2059,628,7667,4698106,45375488,131485696
mysql,dev,deep,10000,100000,496.9,1864,606,929,2004490,40517632,1540386816
epochs,mid,deep,10000,1000000,21354.3,34,53,34,69703,3192498520,2147471360
sqlite,mid,deep,10000,1000000,11661.7,30,22,110,5863401,346562560,310116352
postgres,mid,deep,10000,1000000,185.4,1925,600,7116,44417852,452067328,296468480
mysql,mid,deep,10000,1000000,547.8,1701,588,871,18977981,375537664,110407680
